title,description,thumbnailId,createdBy,createdByName,createdAt,published,flashcardCount,standard,subject,flashcardsData
"Chemistry Organic","Introduction to organic chemistry","thumbnail-chemistry-10","demo-user-id","Demo Teacher","2025-08-20 08:52:17",true,10,"10th","science-2","{""titleImageId"":""title-chemistry-10"",""flashcards"":[{""id"":""card-1"",""frontImageId"":""front-chemistry-10-1"",""backImageId"":""back-chemistry-10-1"",""cardNumber"":1},{""id"":""card-2"",""frontImageId"":""front-chemistry-10-2"",""backImageId"":""back-chemistry-10-2"",""cardNumber"":2},{""id"":""card-3"",""frontImageId"":""front-chemistry-10-3"",""backImageId"":""back-chemistry-10-3"",""cardNumber"":3},{""id"":""card-4"",""frontImageId"":""front-chemistry-10-4"",""backImageId"":""back-chemistry-10-4"",""cardNumber"":4},{""id"":""card-5"",""frontImageId"":""front-chemistry-10-5"",""backImageId"":""back-chemistry-10-5"",""cardNumber"":5},{""id"":""card-6"",""frontImageId"":""front-chemistry-10-6"",""backImageId"":""back-chemistry-10-6"",""cardNumber"":6},{""id"":""card-7"",""frontImageId"":""front-chemistry-10-7"",""backImageId"":""back-chemistry-10-7"",""cardNumber"":7},{""id"":""card-8"",""frontImageId"":""front-chemistry-10-8"",""backImageId"":""back-chemistry-10-8"",""cardNumber"":8},{""id"":""card-9"",""frontImageId"":""front-chemistry-10-9"",""backImageId"":""back-chemistry-10-9"",""cardNumber"":9},{""id"":""card-10"",""frontImageId"":""front-chemistry-10-10"",""backImageId"":""back-chemistry-10-10"",""cardNumber"":10}]}"
"Modern Indian History","Post-independence India","thumbnail-history-10","demo-user-id","Demo Teacher","2025-08-20 08:52:17",true,10,"10th","history-civics","{""titleImageId"":""title-history-10"",""flashcards"":[{""id"":""card-1"",""frontImageId"":""front-history-10-1"",""backImageId"":""back-history-10-1"",""cardNumber"":1},{""id"":""card-2"",""frontImageId"":""front-history-10-2"",""backImageId"":""back-history-10-2"",""cardNumber"":2},{""id"":""card-3"",""frontImageId"":""front-history-10-3"",""backImageId"":""back-history-10-3"",""cardNumber"":3},{""id"":""card-4"",""frontImageId"":""front-history-10-4"",""backImageId"":""back-history-10-4"",""cardNumber"":4},{""id"":""card-5"",""frontImageId"":""front-history-10-5"",""backImageId"":""back-history-10-5"",""cardNumber"":5},{""id"":""card-6"",""frontImageId"":""front-history-10-6"",""backImageId"":""back-history-10-6"",""cardNumber"":6},{""id"":""card-7"",""frontImageId"":""front-history-10-7"",""backImageId"":""back-history-10-7"",""cardNumber"":7},{""id"":""card-8"",""frontImageId"":""front-history-10-8"",""backImageId"":""back-history-10-8"",""cardNumber"":8},{""id"":""card-9"",""frontImageId"":""front-history-10-9"",""backImageId"":""back-history-10-9"",""cardNumber"":9},{""id"":""card-10"",""frontImageId"":""front-history-10-10"",""backImageId"":""back-history-10-10"",""cardNumber"":10}]}"
"Indian Geography","Resources and agriculture","thumbnail-geography-10","demo-user-id","Demo Teacher","2025-08-20 08:52:17",true,10,"10th","geography","{""titleImageId"":""title-geography-10"",""flashcards"":[{""id"":""card-1"",""frontImageId"":""front-geography-10-1"",""backImageId"":""back-geography-10-1"",""cardNumber"":1},{""id"":""card-2"",""frontImageId"":""front-geography-10-2"",""backImageId"":""back-geography-10-2"",""cardNumber"":2},{""id"":""card-3"",""frontImageId"":""front-geography-10-3"",""backImageId"":""back-geography-10-3"",""cardNumber"":3},{""id"":""card-4"",""frontImageId"":""front-geography-10-4"",""backImageId"":""back-geography-10-4"",""cardNumber"":4},{""id"":""card-5"",""frontImageId"":""front-geography-10-5"",""backImageId"":""back-geography-10-5"",""cardNumber"":5},{""id"":""card-6"",""frontImageId"":""front-geography-10-6"",""backImageId"":""back-geography-10-6"",""cardNumber"":6},{""id"":""card-7"",""frontImageId"":""front-geography-10-7"",""backImageId"":""back-geography-10-7"",""cardNumber"":7},{""id"":""card-8"",""frontImageId"":""front-geography-10-8"",""backImageId"":""back-geography-10-8"",""cardNumber"":8},{""id"":""card-9"",""frontImageId"":""front-geography-10-9"",""backImageId"":""back-geography-10-9"",""cardNumber"":9},{""id"":""card-10"",""frontImageId"":""front-geography-10-10"",""backImageId"":""back-geography-10-10"",""cardNumber"":10}]}"
"Physics 11th Mechanics","Kinematics and dynamics","thumbnail-physics-11","demo-user-id","Demo Teacher","2025-08-20 08:52:17",true,10,"11th-sci","physics","{""titleImageId"":""title-physics-11"",""flashcards"":[{""id"":""card-1"",""frontImageId"":""front-physics-11-1"",""backImageId"":""back-physics-11-1"",""cardNumber"":1},{""id"":""card-2"",""frontImageId"":""front-physics-11-2"",""backImageId"":""back-physics-11-2"",""cardNumber"":2},{""id"":""card-3"",""frontImageId"":""front-physics-11-3"",""backImageId"":""back-physics-11-3"",""cardNumber"":3},{""id"":""card-4"",""frontImageId"":""front-physics-11-4"",""backImageId"":""back-physics-11-4"",""cardNumber"":4},{""id"":""card-5"",""frontImageId"":""front-physics-11-5"",""backImageId"":""back-physics-11-5"",""cardNumber"":5},{""id"":""card-6"",""frontImageId"":""front-physics-11-6"",""backImageId"":""back-physics-11-6"",""cardNumber"":6},{""id"":""card-7"",""frontImageId"":""front-physics-11-7"",""backImageId"":""back-physics-11-7"",""cardNumber"":7},{""id"":""card-8"",""frontImageId"":""front-physics-11-8"",""backImageId"":""back-physics-11-8"",""cardNumber"":8},{""id"":""card-9"",""frontImageId"":""front-physics-11-9"",""backImageId"":""back-physics-11-9"",""cardNumber"":9},{""id"":""card-10"",""frontImageId"":""front-physics-11-10"",""backImageId"":""back-physics-11-10"",""cardNumber"":10}]}"
"Chemistry 11th Organic","Hydrocarbons and functional groups","thumbnail-chemistry-11","demo-user-id","Demo Teacher","2025-08-20 08:52:17",true,10,"11th-sci","chemistry","{""titleImageId"":""title-chemistry-11"",""flashcards"":[{""id"":""card-1"",""frontImageId"":""front-chemistry-11-1"",""backImageId"":""back-chemistry-11-1"",""cardNumber"":1},{""id"":""card-2"",""frontImageId"":""front-chemistry-11-2"",""backImageId"":""back-chemistry-11-2"",""cardNumber"":2},{""id"":""card-3"",""frontImageId"":""front-chemistry-11-3"",""backImageId"":""back-chemistry-11-3"",""cardNumber"":3},{""id"":""card-4"",""frontImageId"":""front-chemistry-11-4"",""backImageId"":""back-chemistry-11-4"",""cardNumber"":4},{""id"":""card-5"",""frontImageId"":""front-chemistry-11-5"",""backImageId"":""back-chemistry-11-5"",""cardNumber"":5},{""id"":""card-6"",""frontImageId"":""front-chemistry-11-6"",""backImageId"":""back-chemistry-11-6"",""cardNumber"":6},{""id"":""card-7"",""frontImageId"":""front-chemistry-11-7"",""backImageId"":""back-chemistry-11-7"",""cardNumber"":7},{""id"":""card-8"",""frontImageId"":""front-chemistry-11-8"",""backImageId"":""back-chemistry-11-8"",""cardNumber"":8},{""id"":""card-9"",""frontImageId"":""front-chemistry-11-9"",""backImageId"":""back-chemistry-11-9"",""cardNumber"":9},{""id"":""card-10"",""frontImageId"":""front-chemistry-11-10"",""backImageId"":""back-chemistry-11-10"",""cardNumber"":10}]}"
"Biology 11th Cell","Cell structure and functions","thumbnail-biology-11","demo-user-id","Demo Teacher","2025-08-20 08:52:17",true,10,"11th-sci","biology","{""titleImageId"":""title-biology-11"",""flashcards"":[{""id"":""card-1"",""frontImageId"":""front-biology-11-1"",""backImageId"":""back-biology-11-1"",""cardNumber"":1},{""id"":""card-2"",""frontImageId"":""front-biology-11-2"",""backImageId"":""back-biology-11-2"",""cardNumber"":2},{""id"":""card-3"",""frontImageId"":""front-biology-11-3"",""backImageId"":""back-biology-11-3"",""cardNumber"":3},{""id"":""card-4"",""frontImageId"":""front-biology-11-4"",""backImageId"":""back-biology-11-4"",""cardNumber"":4},{""id"":""card-5"",""frontImageId"":""front-biology-11-5"",""backImageId"":""back-biology-11-5"",""cardNumber"":5},{""id"":""card-6"",""frontImageId"":""front-biology-11-6"",""backImageId"":""back-biology-11-6"",""cardNumber"":6},{""id"":""card-7"",""frontImageId"":""front-biology-11-7"",""backImageId"":""back-biology-11-7"",""cardNumber"":7},{""id"":""card-8"",""frontImageId"":""front-biology-11-8"",""backImageId"":""back-biology-11-8"",""cardNumber"":8},{""id"":""card-9"",""frontImageId"":""front-biology-11-9"",""backImageId"":""back-biology-11-9"",""cardNumber"":9},{""id"":""card-10"",""frontImageId"":""front-biology-11-10"",""backImageId"":""back-biology-11-10"",""cardNumber"":10}]}"
"Mathematics 11th Algebra","Sets and relations","thumbnail-maths-11-1","demo-user-id","Demo Teacher","2025-08-20 08:52:17",true,10,"11th-sci","maths-1","{""titleImageId"":""title-maths-11-1"",""flashcards"":[{""id"":""card-1"",""frontImageId"":""front-maths-11-1-1"",""backImageId"":""back-maths-11-1-1"",""cardNumber"":1},{""id"":""card-2"",""frontImageId"":""front-maths-11-1-2"",""backImageId"":""back-maths-11-1-2"",""cardNumber"":2},{""id"":""card-3"",""frontImageId"":""front-maths-11-1-3"",""backImageId"":""back-maths-11-1-3"",""cardNumber"":3},{""id"":""card-4"",""frontImageId"":""front-maths-11-1-4"",""backImageId"":""back-maths-11-1-4"",""cardNumber"":4},{""id"":""card-5"",""frontImageId"":""front-maths-11-1-5"",""backImageId"":""back-maths-11-1-5"",""cardNumber"":5},{""id"":""card-6"",""frontImageId"":""front-maths-11-1-6"",""backImageId"":""back-maths-11-1-6"",""cardNumber"":6},{""id"":""card-7"",""frontImageId"":""front-maths-11-1-7"",""backImageId"":""back-maths-11-1-7"",""cardNumber"":7},{""id"":""card-8"",""frontImageId"":""front-maths-11-1-8"",""backImageId"":""back-maths-11-1-8"",""cardNumber"":8},{""id"":""card-9"",""frontImageId"":""front-maths-11-1-9"",""backImageId"":""back-maths-11-1-9"",""cardNumber"":9},{""id"":""card-10"",""frontImageId"":""front-maths-11-1-10"",""backImageId"":""back-maths-11-1-10"",""cardNumber"":10}]}"
"Mathematics 11th Calculus","Limits and derivatives","thumbnail-maths-11-2","demo-user-id","Demo Teacher","2025-08-20 08:52:17",true,10,"11th-sci","maths-2","{""titleImageId"":""title-maths-11-2"",""flashcards"":[{""id"":""card-1"",""frontImageId"":""front-maths-11-2-1"",""backImageId"":""back-maths-11-2-1"",""cardNumber"":1},{""id"":""card-2"",""frontImageId"":""front-maths-11-2-2"",""backImageId"":""back-maths-11-2-2"",""cardNumber"":2},{""id"":""card-3"",""frontImageId"":""front-maths-11-2-3"",""backImageId"":""back-maths-11-2-3"",""cardNumber"":3},{""id"":""card-4"",""frontImageId"":""front-maths-11-2-4"",""backImageId"":""back-maths-11-2-4"",""cardNumber"":4},{""id"":""card-5"",""frontImageId"":""front-maths-11-2-5"",""backImageId"":""back-maths-11-2-5"",""cardNumber"":5},{""id"":""card-6"",""frontImageId"":""front-maths-11-2-6"",""backImageId"":""back-maths-11-2-6"",""cardNumber"":6},{""id"":""card-7"",""frontImageId"":""front-maths-11-2-7"",""backImageId"":""back-maths-11-2-7"",""cardNumber"":7},{""id"":""card-8"",""frontImageId"":""front-maths-11-2-8"",""backImageId"":""back-maths-11-2-8"",""cardNumber"":8},{""id"":""card-9"",""frontImageId"":""front-maths-11-2-9"",""backImageId"":""back-maths-11-2-9"",""cardNumber"":9},{""id"":""card-10"",""frontImageId"":""front-maths-11-2-10"",""backImageId"":""back-maths-11-2-10"",""cardNumber"":10}]}"
"Physics 12th Electromagnetism","Electricity and magnetism","thumbnail-physics-12","demo-user-id","Demo Teacher","2025-08-20 08:52:17",true,10,"12th-sci","physics","{""titleImageId"":""title-physics-12"",""flashcards"":[{""id"":""card-1"",""frontImageId"":""front-physics-12-1"",""backImageId"":""back-physics-12-1"",""cardNumber"":1},{""id"":""card-2"",""frontImageId"":""front-physics-12-2"",""backImageId"":""back-physics-12-2"",""cardNumber"":2},{""id"":""card-3"",""frontImageId"":""front-physics-12-3"",""backImageId"":""back-physics-12-3"",""cardNumber"":3},{""id"":""card-4"",""frontImageId"":""front-physics-12-4"",""backImageId"":""back-physics-12-4"",""cardNumber"":4},{""id"":""card-5"",""frontImageId"":""front-physics-12-5"",""backImageId"":""back-physics-12-5"",""cardNumber"":5},{""id"":""card-6"",""frontImageId"":""front-physics-12-6"",""backImageId"":""back-physics-12-6"",""cardNumber"":6},{""id"":""card-7"",""frontImageId"":""front-physics-12-7"",""backImageId"":""back-physics-12-7"",""cardNumber"":7},{""id"":""card-8"",""frontImageId"":""front-physics-12-8"",""backImageId"":""back-physics-12-8"",""cardNumber"":8},{""id"":""card-9"",""frontImageId"":""front-physics-12-9"",""backImageId"":""back-physics-12-9"",""cardNumber"":9},{""id"":""card-10"",""frontImageId"":""front-physics-12-10"",""backImageId"":""back-physics-12-10"",""cardNumber"":10}]}"
"Chemistry 12th Inorganic","Periodic table and chemical bonding","thumbnail-chemistry-12","demo-user-id","Demo Teacher","2025-08-20 08:52:17",true,10,"12th-sci","chemistry","{""titleImageId"":""title-chemistry-12"",""flashcards"":[{""id"":""card-1"",""frontImageId"":""front-chemistry-12-1"",""backImageId"":""back-chemistry-12-1"",""cardNumber"":1},{""id"":""card-2"",""frontImageId"":""front-chemistry-12-2"",""backImageId"":""back-chemistry-12-2"",""cardNumber"":2},{""id"":""card-3"",""frontImageId"":""front-chemistry-12-3"",""backImageId"":""back-chemistry-12-3"",""cardNumber"":3},{""id"":""card-4"",""frontImageId"":""front-chemistry-12-4"",""backImageId"":""back-chemistry-12-4"",""cardNumber"":4},{""id"":""card-5"",""frontImageId"":""front-chemistry-12-5"",""backImageId"":""back-chemistry-12-5"",""cardNumber"":5},{""id"":""card-6"",""frontImageId"":""front-chemistry-12-6"",""backImageId"":""back-chemistry-12-6"",""cardNumber"":6},{""id"":""card-7"",""frontImageId"":""front-chemistry-12-7"",""backImageId"":""back-chemistry-12-7"",""cardNumber"":7},{""id"":""card-8"",""frontImageId"":""front-chemistry-12-8"",""backImageId"":""back-chemistry-12-8"",""cardNumber"":8},{""id"":""card-9"",""frontImageId"":""front-chemistry-12-9"",""backImageId"":""back-chemistry-12-9"",""cardNumber"":9},{""id"":""card-10"",""frontImageId"":""front-chemistry-12-10"",""backImageId"":""back-chemistry-12-10"",""cardNumber"":10}]}"
"Biology 12th Genetics","Heredity and evolution","thumbnail-biology-12","demo-user-id","Demo Teacher","2025-08-20 08:52:17",true,10,"12th-sci","biology","{""titleImageId"":""title-biology-12"",""flashcards"":[{""id"":""card-1"",""frontImageId"":""front-biology-12-1"",""backImageId"":""back-biology-12-1"",""cardNumber"":1},{""id"":""card-2"",""frontImageId"":""front-biology-12-2"",""backImageId"":""back-biology-12-2"",""cardNumber"":2},{""id"":""card-3"",""frontImageId"":""front-biology-12-3"",""backImageId"":""back-biology-12-3"",""cardNumber"":3},{""id"":""card-4"",""frontImageId"":""front-biology-12-4"",""backImageId"":""back-biology-12-4"",""cardNumber"":4},{""id"":""card-5"",""frontImageId"":""front-biology-12-5"",""backImageId"":""back-biology-12-5"",""cardNumber"":5},{""id"":""card-6"",""frontImageId"":""front-biology-12-6"",""backImageId"":""back-biology-12-6"",""cardNumber"":6},{""id"":""card-7"",""frontImageId"":""front-biology-12-7"",""backImageId"":""back-biology-12-7"",""cardNumber"":7},{""id"":""card-8"",""frontImageId"":""front-biology-12-8"",""backImageId"":""back-biology-12-8"",""cardNumber"":8},{""id"":""card-9"",""frontImageId"":""front-biology-12-9"",""backImageId"":""back-biology-12-9"",""cardNumber"":9},{""id"":""card-10"",""frontImageId"":""front-biology-12-10"",""backImageId"":""back-biology-12-10"",""cardNumber"":10}]}"
"Mathematics 12th Algebra","Matrices and determinants","thumbnail-maths-12-1","demo-user-id","Demo Teacher","2025-08-20 08:52:17",true,10,"12th-sci","maths-1","{""titleImageId"":""title-maths-12-1"",""flashcards"":[{""id"":""card-1"",""frontImageId"":""front-maths-12-1-1"",""backImageId"":""back-maths-12-1-1"",""cardNumber"":1},{""id"":""card-2"",""frontImageId"":""front-maths-12-1-2"",""backImageId"":""back-maths-12-1-2"",""cardNumber"":2},{""id"":""card-3"",""frontImageId"":""front-maths-12-1-3"",""backImageId"":""back-maths-12-1-3"",""cardNumber"":3},{""id"":""card-4"",""frontImageId"":""front-maths-12-1-4"",""backImageId"":""back-maths-12-1-4"",""cardNumber"":4},{""id"":""card-5"",""frontImageId"":""front-maths-12-1-5"",""backImageId"":""back-maths-12-1-5"",""cardNumber"":5},{""id"":""card-6"",""frontImageId"":""front-maths-12-1-6"",""backImageId"":""back-maths-12-1-6"",""cardNumber"":6},{""id"":""card-7"",""frontImageId"":""front-maths-12-1-7"",""backImageId"":""back-maths-12-1-7"",""cardNumber"":7},{""id"":""card-8"",""frontImageId"":""front-maths-12-1-8"",""backImageId"":""back-maths-12-1-8"",""cardNumber"":8},{""id"":""card-9"",""frontImageId"":""front-maths-12-1-9"",""backImageId"":""back-maths-12-1-9"",""cardNumber"":9},{""id"":""card-10"",""frontImageId"":""front-maths-12-1-10"",""backImageId"":""back-maths-12-1-10"",""cardNumber"":10}]}"
"Mathematics 12th Calculus","Integrals and applications","thumbnail-maths-12-2","demo-user-id","Demo Teacher","2025-08-20 08:52:17",true,10,"12th-sci","maths-2","{""titleImageId"":""title-maths-12-2"",""flashcards"":[{""id"":""card-1"",""frontImageId"":""front-maths-12-2-1"",""backImageId"":""back-maths-12-2-1"",""cardNumber"":1},{""id"":""card-2"",""frontImageId"":""front-maths-12-2-2"",""backImageId"":""back-maths-12-2-2"",""cardNumber"":2},{""id"":""card-3"",""frontImageId"":""front-maths-12-2-3"",""backImageId"":""back-maths-12-2-3"",""cardNumber"":3},{""id"":""card-4"",""frontImageId"":""front-maths-12-2-4"",""backImageId"":""back-maths-12-2-4"",""cardNumber"":4},{""id"":""card-5"",""frontImageId"":""front-maths-12-2-5"",""backImageId"":""back-maths-12-2-5"",""cardNumber"":5},{""id"":""card-6"",""frontImageId"":""front-maths-12-2-6"",""backImageId"":""back-maths-12-2-6"",""cardNumber"":6},{""id"":""card-7"",""frontImageId"":""front-maths-12-2-7"",""backImageId"":""back-maths-12-2-7"",""cardNumber"":7},{""id"":""card-8"",""frontImageId"":""front-maths-12-2-8"",""backImageId"":""back-maths-12-2-8"",""cardNumber"":8},{""id"":""card-9"",""frontImageId"":""front-maths-12-2-9"",""backImageId"":""back-maths-12-2-9"",""cardNumber"":9},{""id"":""card-10"",""frontImageId"":""front-maths-12-2-10"",""backImageId"":""back-maths-12-2-10"",""cardNumber"":10}]}"